professor_name,apiVersion,script,name,likelyGender,genderScale,score,probabilityCalibrated
Gautam  Nivarthy,namsor_api_2.1.4,LATIN,Gautam  Nivarthy,male,-0.7359230229063198,8.591038433728983,0.8679615114531599
George  Thomas,namsor_api_2.1.4,LATIN,George  Thomas,male,-0.812434926774054,9.678881872663936,0.906217463387027
Gil  Pearson,namsor_api_2.1.4,LATIN,Gil  Pearson,male,-0.7263478715859717,8.520738523832492,0.8631739357929858
Goran  Nenadic,namsor_api_2.1.4,LATIN,Goran  Nenadic,male,-0.7833479094244293,9.061314189145406,0.8916739547122147
Grace  Chehoud,namsor_api_2.1.4,LATIN,Grace  Chehoud,female,0.3841625764230956,4.523244023356256,0.6920812882115478
Gregory  Martin,namsor_api_2.1.4,LATIN,Gregory  Martin,male,-0.7239578834197722,8.503935694686902,0.8619789417098861
Greta  Feeney,namsor_api_2.1.4,LATIN,Greta  Feeney,female,0.41519333310636686,5.743339493127493,0.7075966665531834
Gwynn  Markle,namsor_api_2.1.4,LATIN,Gwynn  Markle,female,0.3319193541534746,3.030801292843492,0.6659596770767373
Helene A  Bergman,namsor_api_2.1.4,LATIN,Helene A  Bergman,female,0.4450513414320627,6.377068317164621,0.7225256707160314
Henrik  Volckmer,namsor_api_2.1.4,LATIN,Henrik  Volckmer,male,-0.7373394843369423,8.601870517846756,0.8686697421684711
Henry  McDade,namsor_api_2.1.4,LATIN,Henry  McDade,male,-0.41022714204792066,5.631217346077449,0.7051135710239603
Holly  Reeves,namsor_api_2.1.4,LATIN,Holly  Reeves,female,0.38901082967039646,4.885064998715251,0.6945054148351982
Howard  Bullard,namsor_api_2.1.4,LATIN,Howard  Bullard,male,-0.8161949623155564,9.875052153640368,0.9080974811577782
Howard  Cabot,namsor_api_2.1.4,LATIN,Howard  Cabot,male,-0.8575999339023193,10.513861180436535,0.9287999669511596
IJ  Singh,namsor_api_2.1.4,LATIN,IJ  Singh,male,-0.17155233414807713,1.5971395632426493,0.5857761670740386
Jack  Chen,namsor_api_2.1.4,LATIN,Jack  Chen,male,-0.90586199800688,11.36121536704961,0.95293099900344
Jack  Yarnell,namsor_api_2.1.4,LATIN,Jack  Yarnell,male,-0.8750505615850266,10.745324595918234,0.9375252807925133
Jamal  Watson,namsor_api_2.1.4,LATIN,Jamal  Watson,male,-0.8409439024623078,10.333857442434649,0.9204719512311539
James  Todaro,namsor_api_2.1.4,LATIN,James  Todaro,male,-0.9049044286359003,11.335102377818117,0.9524522143179501
Janice  Austin,namsor_api_2.1.4,LATIN,Janice  Austin,female,0.39871659676379356,5.251414453312947,0.6993582983818968
Janice  Holm,namsor_api_2.1.4,LATIN,Janice  Holm,female,0.4267393912710338,6.065619792394244,0.7133696956355169
Jason  Frederickson,namsor_api_2.1.4,LATIN,Jason  Frederickson,male,-0.8138770247581901,9.74964596587381,0.9069385123790951
Jason  Johnson,namsor_api_2.1.4,LATIN,Jason  Johnson,male,-0.8662666943917778,10.622138295249826,0.9331333471958889
Jason  Mullin,namsor_api_2.1.4,LATIN,Jason  Mullin,male,-0.8263893732496719,10.199370345966301,0.9131946866248359
Jean  Brouard,namsor_api_2.1.4,LATIN,Jean  Brouard,male,-0.07266897386438065,0.13308834328852034,0.5363344869321903
Jean-Pierre  Dussault,namsor_api_2.1.4,LATIN,Jean-Pierre  Dussault,male,-0.4841746967581335,6.873750858411583,0.7420873483790668
Jeff  Larson,namsor_api_2.1.4,LATIN,Jeff  Larson,male,-0.9312174428091331,12.567009548037149,0.9656087214045666
Jeff  Rebholz,namsor_api_2.1.4,LATIN,Jeff  Rebholz,male,-0.9147655596683051,11.64357552313939,0.9573827798341525
Jennifer  Barnes,namsor_api_2.1.4,LATIN,Jennifer  Barnes,female,0.22606642392063891,1.9399779623302038,0.6130332119603195
Jennifer  McDowell,namsor_api_2.1.4,LATIN,Jennifer  McDowell,female,0.3119739838787574,2.5065437728716518,0.6559869919393787
Jeremy  Dehn,namsor_api_2.1.4,LATIN,Jeremy  Dehn,male,-0.4512286271478163,6.48950446151548,0.7256143135739082
Jeremy  Hill,namsor_api_2.1.4,LATIN,Jeremy  Hill,male,-0.47239879635294435,6.752670045072136,0.7361993981764722
Jeremy  Ong,namsor_api_2.1.4,LATIN,Jeremy  Ong,male,-0.4220467684697684,5.921976981992387,0.7110233842348842
Jessica  Chambers,namsor_api_2.1.4,LATIN,Jessica  Chambers,female,0.3894165081297678,4.922090760789359,0.6947082540648839
Jill  Biondo,namsor_api_2.1.4,LATIN,Jill  Biondo,female,0.33149399805304514,3.0166467505080448,0.6657469990265226
Jo Anne  Ollerenshaw,namsor_api_2.1.4,LATIN,Jo Anne  Ollerenshaw,female,0.4521920245074451,6.508234029146948,0.7260960122537226
Jodie  Mack,namsor_api_2.1.4,LATIN,Jodie  Mack,female,0.2434991239217359,2.0306426152013017,0.621749561960868
Joe  Losby,namsor_api_2.1.4,LATIN,Joe  Losby,male,-0.7997531778324063,9.30123550703891,0.8998765889162031
Joe  Trainor,namsor_api_2.1.4,LATIN,Joe  Trainor,male,-0.7962861653004885,9.245514873815239,0.8981430826502442
Joe  Woodall,namsor_api_2.1.4,LATIN,Joe  Woodall,male,-0.7762924708152492,8.97353968873378,0.8881462354076246
John  Doe,namsor_api_2.1.4,LATIN,John  Doe,male,-0.9243516482375238,12.076305371259082,0.9621758241187619
John  Grein,namsor_api_2.1.4,LATIN,John  Grein,male,-0.9234640640997829,12.027387520238037,0.9617320320498914
John  Nirmal,namsor_api_2.1.4,LATIN,John  Nirmal,male,-0.925841442864896,12.16420709537303,0.962920721432448
Jon  Sands,namsor_api_2.1.4,LATIN,Jon  Sands,male,-0.8195837499150558,10.092375981413483,0.9097918749575279
Jordan  Long,namsor_api_2.1.4,LATIN,Jordan  Long,male,-0.44690596085185175,6.409521668484757,0.7234529804259259
Joseph  Grant,namsor_api_2.1.4,LATIN,Joseph  Grant,male,-0.815246992902644,9.821850856926545,0.907623496451322
Josephine  Axis,namsor_api_2.1.4,LATIN,Josephine  Axis,female,0.3853053451771107,4.597685078230853,0.6926526725885553
Josey  Templeton,namsor_api_2.1.4,LATIN,Josey  Templeton,female,0.0783019121476638,0.30046369760097497,0.5391509560738319
Joy  St. James,namsor_api_2.1.4,LATIN,Joy  St. James,female,0.0703023455117231,0.0634510994863435,0.5351511727558615
Joyce  Hopp,namsor_api_2.1.4,LATIN,Joyce  Hopp,female,0.3826643077666585,4.433200229227083,0.6913321538833292
Judi  Carlson,namsor_api_2.1.4,LATIN,Judi  Carlson,female,0.2196236456805032,1.9079767173921456,0.6098118228402516
Karim  Ben-Marzouk,namsor_api_2.1.4,LATIN,Karim  Ben-Marzouk,male,-0.3821278159146104,4.401295648103016,0.6910639079573052
Karin  Klenke,namsor_api_2.1.4,LATIN,Karin  Klenke,female,0.3916286185601534,5.070300187237976,0.6958143092800767
Kate  Doody,namsor_api_2.1.4,LATIN,Kate  Doody,female,0.4365718171512012,6.240753598974905,0.7182859085756006
Kathleen  Gregory,namsor_api_2.1.4,LATIN,Kathleen  Gregory,female,0.3822750958859198,4.411049976760779,0.6911375479429599
Kathryn  King-Metters,namsor_api_2.1.4,LATIN,Kathryn  King-Metters,female,0.39030755048753574,5.0084948095065585,0.6951537752437679
Kathy  Blundell,namsor_api_2.1.4,LATIN,Kathy  Blundell,female,0.41058628338763414,5.638919957627962,0.7052931416938171
Kathy  Edwards,namsor_api_2.1.4,LATIN,Kathy  Edwards,female,0.40205537059809915,5.349452160119569,0.7010276852990496
Katyna  Lavery,namsor_api_2.1.4,LATIN,Katyna  Lavery,female,0.7345014440088049,8.580283876615113,0.8672507220044025
Keely  Kent,namsor_api_2.1.4,LATIN,Keely  Kent,female,0.443477690729555,6.3503314979641345,0.7217388453647775
Keith  Norman,namsor_api_2.1.4,LATIN,Keith  Norman,male,-0.38959425263083225,4.938748842570675,0.6947971263154161
Kevin  Hedges,namsor_api_2.1.4,LATIN,Kevin  Hedges,male,-0.8195282096853038,10.08840544226969,0.9097641048426519
Kevin  Jenson,namsor_api_2.1.4,LATIN,Kevin  Jenson,male,-0.8340509239723943,10.267906753242599,0.9170254619861972
